"Grade","Score","Part","Listing","Name","Category","Status","Qty","Orders","Sales","Gross","Deduction","NetGross","HistMargin","Rating","Reviews","CR","Images","Units","Visits","AdSpend","AdSales","AdOrders","ROAS","PlatformMargin","PlatformPct","Reason","Action"
"N","0","T2398P374169","TOOL-B02","半对开门工具柜-黑色","工具",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P342715","","黑色金属3抽窄卡
标签框款","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P310002","VFC-4B-wheel","窄四黑带轮子套装","文件柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P350189","PT03-WH","白色压型通对玻储物柜餐厨柜","餐边柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P236482","TOOL-B01","黑色常规-单节工具柜","工具",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P272100","VF-ZH-4B","4抽窄卡组合柜-黑","文件柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","PT03-WH","DMOM1042",,,"Live","0","0","0","0","0","0","0","0","0","0","5","0","71","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","MFC-D3W","DMOM1055",,,"Not Live","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","8T-Kayak","DMOM1002",,,"Live","0","0","0","0","0","0","0","0","0","0","7","0","54","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","PT01-WH","DMOM1038",,,"Live","0","0","0","0","0","0","0","0","0","0","7","0","1","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","TOOL-B06","DMOM1068",,,"Live","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","TOOL-A05","DMOM1067",,,"Live","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","TOOL-A03","DMOM1062",,,"Live","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","MFC-D2W","DMOM1056",,,"Not Live","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","MFC-D01","DMOM1031",,,"Live","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","9D-locker","DMOM1046",,,"Live (Some Stores)","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","W6D-G-locker","DMOM1049",,,"Live","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","MFC-D04","DMOM1031",,,"Live","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","YB-CW12A0720","DMOM1007",,,"Live","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","TOOL-A04","DMOM1069",,,"Live","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","TOOL-B07","DMOM1074",,,"Live","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","CT-3ps","DMOM1041",,,"Live","0","0","0","0","0","0","0","0","0","0","9","0","7","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","TOOL-A02","DMOM1070",,,"Live","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","VFC-4W-wheel","DMOM1030",,,"Live (Some Stores)","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","TOOL-B03","DMOM1062",,,"Live","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","TOOL-B01","DMOM1072",,,"Live","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
