Reporting Month,Supplier Part Id,Supplier Part Number,Brand Catalog,Wayfair Sku,Product Name,Class Name,Total Revenue,Total Revenue Mom,Total Revenue Yoy,Total Revenue B2B,Total Revenue Premium Brands,Total Orders,Total Orders B2B,Total Orders Premium Brands,Units Sold,Units Sold B2B,Units Sold Premium Brands,Sessions,Sessions Mom,Sessions Yoy,Sessions Percentage B2B,Unit Session Percentage,Unit Session Percentage B2B,Add To Cart Rate,Conversion Rate,Order To Delivery Stated,Order To Delivery Actual,Fill Rate Supplier,Actual Lost Sales,Option Combination Image Coverage,Required Tag Coverage,Sponsored Product Impressions (SKU Level),Sponsored Product Clicks (SKU Level),Sponsored Product Average Daily Spend (SKU Level),Sponsored Product Total Spend (SKU Level),Sponsored Product Attributed Revenue (SKU Level),Sponsored Product Attributed Orders (SKU Level),Sponsored Product Cost Per Click (SKU Level),Sponsored Product Return On Ad Spend Revenue (SKU Level),Sponsored Product Return On Ad Spend Retail Sales (SKU Level)
May 2026,139780729,YB-CW12S0714,Wayfair Canada (French),IFOM4699,"Cage à hamster en bois avec tunnels, enclos à gerbilles avec plateau et roues amovibles, plateau et avant ouvrable, niche pour petits animaux, souris et autres petits animaux de compagnie",Small Animal Cages And Habitats,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139780729,YB-CW12S0714,Wayfair US,IFOM4699,"Wooden Hamster Cage with Tunnels, Gerbil Enclosure with Detachable Tray & Wheels, Openable Top and Front, Small Animal Hutch for Mice, Rats, and Other Tiny Pets",Small Animal Cages And Habitats,,,,,,,,,,,,4,,,,0,,0,0,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139782108,YB-CW12Y0719,Wayfair Canada (English),DMOM1012,"2-tier Wooden Rabbit Hutch With Wheels, Removable Tray, Openable Roof & Ramp, Small Animal House For Bunnies & Guinea Pigs, Panels",Small Animal Cages And Habitats,,,,,,,,,,,,,-1,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139782108,YB-CW12Y0719,Wayfair Canada (French),DMOM1012,"Cage à lapin en bois à 2 niveaux avec roulettes, plateau amovible, toit et rampe ouvrable, maisonnette pour petits lapins et cochons d'Inde, panneaux",Small Animal Cages And Habitats,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139782108,YB-CW12Y0719,Wayfair US,DMOM1012,"2-tier Wooden Rabbit Hutch With Wheels, Removable Tray, Openable Roof & Ramp, Small Animal House For Bunnies & Guinea Pigs, Panels",Small Animal Cages And Habitats,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139782110,YB- CW12X0718,Wayfair Canada (English),DMOM1011,"94.5'' 2-storey Outdoor Rabbit Hutch With Dual Runs, Resting Loft, Pull-out Tray, Weatherproof Roof & Ramps, Panels",Small Animal Cages And Habitats,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139782110,YB- CW12X0718,Wayfair Canada (French),DMOM1011,"Cage à lapins d'extérieur 94,5 po avec 2 couloirs, mezzanine, plateau coulissant, toit et rampes résistants aux intempéries, panneaux 94,5 po",Small Animal Cages And Habitats,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139782110,YB- CW12X0718,Wayfair US,DMOM1011,"94.5'' 2-story Outdoor Rabbit Hutch With Dual Runs, Resting Loft, Pull-out Tray, Weatherproof Roof & Ramps, Panels",Small Animal Cages And Habitats,,,,,,,,,,,,,-1,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139782111,YB-CW12H0689,Wayfair Canada (English),DMOM1013,"80'' 2-tier Wooden Chicken Coop With Nesting Box, Run, Pull-out Tray, Planter & Weather-resistant Roof, Backyard Hen House",Small Animal Cages And Habitats,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139782111,YB-CW12H0689,Wayfair Canada (French),DMOM1013,"Poulailler en bois à 2 niveaux de 80 po avec nichoir, couloir, plateau coulissant, toit résistant aux intempéries et jardinière, poulailler",Small Animal Cages And Habitats,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,139782111,YB-CW12H0689,Wayfair US,DMOM1013,"80'' 2-tier Wooden Chicken Coop With Nesting Box, Run, Pull-out Tray, Planter & Weather-resistant Roof, Backyard Hen House",Small Animal Cages And Habitats,,,,,,,,,,,,,,,,,,,,,,,,1,0.73333333333333328,,,,,,,,,
May 2026,140356782,3T-B,Wayfair Canada (English),DMOM1017,"34""W 20-30 Gallon Metal Fish Tank Stand - Heavy Duty 3-Tier Adjustable Aquarium/Reptile Tank Rack for Home Office",Aquariums & Bowls,,,,,,,,,,,,10,0.25,,,0,,0,0,,,,,1,0.72222222222222221,2327,48,0.1,2.4,,,0.05,,
May 2026,140356782,3T-B,Wayfair Canada (French),DMOM1017,Support pour aquarium / reptile ajustable à 3 niveaux 34 po,Aquariums & Bowls,,,,,,,,,,,,,,,,,,,,,,,,1,0.72222222222222221,,,,,,,,,
