Report Week,BrandCatalog,SKU,Display Sku,SupplierPart Number,ManufacturerPart Number,Class Name,Supplier ID,Supplier Name,Is CG,Ship Class,Product Status,SKU LaunchMonth,Brand Type,Is InExclusivity Program,QuantitySold L90D,WSC L90D,QuantitySold L12M,WSC L12M,Retail Price,Tax And Duties,Retail Price Net,Base Cost,WholesaleCost,Ship Outbound Cost,Ship Other Cost,Incident And Return Cost,Rebate,Product Allowance Cost,Other Handling Cost,Total Cost,B2C Discount,CG Markdown,WSC MarketCompetitiveness Percentile,ShipCost MarketCompetitiveness Percentile,IncidentsAndReturnCost MarketCompetitiveness Percentile
2026-05-31,Wayfair US,DMOM1040,W119186674,CT-01,CT-01,Coffee & Cocktail Tables,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Mar-2026,Header Brand,Not exclusive,,0,,0,246.99,0,246.99,136,125.12,17.93855116,0,17.671158,0,-7.5072,10.887936503,164.110445663,-0.08,,0.36,0.09,0
2026-05-31,Wayfair US,DMOM1043,W119204752,PT04-WH,PT04-WH,Pantry Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Mar-2026,Header Brand,Not exclusive,,0,,0,259.99,0,259.99,170,156.4,20.9738983,0,14.122738,0,-9.384,12.084712979,194.197349279,-0.08,,0.33,0.1,0.36
2026-05-31,Wayfair US,DMOM1056,DMOM1056,MFC-D2W,MFC-D2W,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Admins Can Sell,Not defined,,Not exclusive,,0,,0,203.99,0,203.99,130,123.5,13.10930401,0,10.291234,0,-7.41,9.159852506,148.650390516,-0.05,,,,
2026-05-31,Wayfair US,DMOM1067,W119966376,TOOL-B05,TOOL-B05,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,199.99,0,199.99,156.4,143.888,15.77673346,0,9.7968062,0,-8.63328,10.17117621,170.99943587,-0.08,,0.78,0.26,0.28
2026-05-31,Wayfair US,DMOM1077,W119966384,TOOL-A08,TOOL-A08,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,279.99,0,279.99,212.5,195.5,26.15943145,0,17.11356,0,-11.73,13.089597,240.13258845,-0.08,,0.29,0.39,0.62
2026-05-31,Wayfair US,DMOM1000,W114466261,5T-1830-1200,5T-1830-1200,Shelving & Racks,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Jul-2025,Header Brand,Not exclusive,4,483,18,2216.2,197.99,0,197.99,140,126,19.54896388,0,7.986154,0,-7.56,8.560998217,154.536116097,-0.1,,0.97,0.69,0.31
2026-05-31,Wayfair US,DMOM1017,W115286599,3T-B,3T-B,Aquariums & Bowls,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Aug-2025,Header Brand,Not exclusive,1,0,1,0,91.99,0,91.99,70,63,10.36726408,0,3.866968,0,-3.78,5.812939413,79.267171493,-0.1,,0,0.35,0
2026-05-31,Wayfair US,DMOM1018,W116063433,LFC-2W,LFC-2W,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,5,357.75,17,1907.55,192.99,0,192.99,135,121.5,17.73159091,0,8.103432,0,-7.29,8.824187355,148.869210265,-0.1,,0.71,0.19,0.05
2026-05-31,Wayfair US,DMOM1019,W116063436,VFC-3B,VFC-3B,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,8,842.4,39,4029.6,163.99,0,163.99,120,108,12.04694299,0,6.947577,0,-6.48,7.728904412,128.243424402,-0.1,,0.4,0.15,0.3
2026-05-31,Wayfair US,DMOM1022,W116063490,MFC-D3-W,MFC-D3-W,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,51,4573.8,65,5505.15,141.99,0,141.99,105,94.5,11.92171894,0,7.023708,0,-5.67,6.862373564,114.637800504,-0.1,,0.17,0.06,0.22
2026-05-31,Wayfair US,DMOM1025,W116063428,LFC-3W,LFC-3W,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,9,1213.65,44,5995.4,219.99,0,219.99,155,139.5,20.23670065,0,9.34044,0,-8.37,9.847849861,170.554990511,-0.1,,0.6,0.6,0.1
2026-05-31,Wayfair US,DMOM1027,W116063491,LFC-4W,LFC-4W,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,1,180,8,1412,279.99,0,279.99,200,180,22.33145275,0,13.907538,0,-10.8,12.051953105,217.490943855,-0.1,,0.76,0.33,0.29
2026-05-31,Wayfair US,DMOM1028,W116055452,VFC-5W,VFC-5W,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,,0,,0,239.99,0,239.99,170,153,21.23388229,0,11.869936,0,-9.18,10.550693184,187.474511474,-0.1,,0.48,0.35,0.39
2026-05-31,Wayfair US,DMOM1062,W119966389,TOOL-A03,TOOL-A03,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,135.99,0,135.99,103.7,95.404,11.56019344,0,6.7067314,0,-5.72424,7.755768106,115.702452946,-0.08,,0.42,0.2,0.33
2026-05-31,Wayfair US,DMOM1069,W119966387,TOOL-A04,TOOL-A04,Garage Storage Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,165.99,0,165.99,127.5,117.3,14.14431484,0,8.0244,0,-7.038,8.896991649,141.327706489,-0.08,,0.65,0.34,0.13
2026-05-31,Wayfair US,DMOM1000,W114466261,5T-1600-800,5T-1600-800,Shelving & Racks,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Jul-2025,Header Brand,Not exclusive,0,0,2,153,119.99,0,119.99,85,76.5,11.76725848,0,4.615792,0,-4.59,5.626656329,93.919706809,-0.1,,0.5,0.31,0.41
2026-05-31,Wayfair US,DMOM1023,W116063425,VFC-4W,VFC-4W,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Oct-2025,Header Brand,Not exclusive,1,123.2,4,491.4,199.99,0,199.99,140,126,18.40298044,0,9.461137,0,-7.56,9.052419944,155.356537384,-0.1,,0.55,0.18,0.05
2026-05-31,Wayfair US,DMOM1031,W118534853,MFC-D04,MFC-D04,Filing Cabinets,347069,"Guangzhou youbao Technology Co. , Ltd.",DS,SP,Active,Not defined,Header Brand,Not exclusive,,0,,0,189.99,0,189.99,125,115,12.30451681,0,8.82603,0,-6.9,8.672389219,137.902936029,-0.08,,,,
