Promotion Name,Promotion Start Date,Promotion End Date,Class,Store,Product Part #,Revenue 30 Days Prior,Avg Daily Revenue Prior 30 Days,Revenue During Promotion,Avg Daily Revenue During Promotion,Revenue Post 30 Days,Avg Daily Revenue Post 30 Days,# of Units Sold 30 Days Prior,Avg Daily Units Sold Prior 30 Days,# of Units Sold During Promotion,Avg Daily Units Sold During Promotion,# of Units Sold Post 30 Days,Avg Daily Units Sold Post 30 Days,Discount Percent,Impressions,Conversion Rate
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Filing Cabinets,Wayfair US,MFC-D3-W,676.02,22.53,83.89,20.97,3170.4,105.68,8,0.27,1,0.25,39,1.3,15,15,0
NA 72 Hour Clearout - March 2026,2026-03-28,2026-03-31,Filing Cabinets,Wayfair US,VFC-4B,0,0,111.86,27.97,0,0,1,0.03,1,0.25,0,0,15,8,12.5
NA 72 Hour Clearout - November 2025,2025-11-09,2025-11-12,Bike And Sport Racks,Wayfair US,4T-Kayak,697.48,23.25,118.44,29.61,230.3,7.68,6,0.2,1,0.25,2,0.07,10,,
NA 72 Hour Clearout - November 2025,2025-11-09,2025-11-12,Shelving & Racks,Wayfair US,5T-1980-1200,406.08,13.54,199.65,49.91,296.67,9.89,4,0.13,2,0.5,3,0.1,10,31,6.4516129032258061
NA 72 Hour Clearout - November 2025,2025-11-09,2025-11-12,Shelving & Racks,Wayfair US,5T-dong-183-120,489.07,16.3,101.52,25.38,390.3,13.01,5,0.17,1,0.25,4,0.13,10,2,50
NA 72 Hour Clearout - October 2025,2025-10-07,2025-10-10,Shelving & Racks,Wayfair US,5T-1830-1200,113.35,3.78,118.44,29.61,236.88,7.9,2,0.07,1,0.25,2,0.07,10,1,0
NA 72 Hour Clearout - October 2025,2025-10-07,2025-10-10,Shelving & Racks,Wayfair US,5T-1830-900,-1.57,-0.05,75.3,18.83,75.3,2.51,1,0.03,1,0.25,1,0.03,10,3,33.333333333333329
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,LFC-2B,103.68,3.46,435.26,18.14,913.68,30.46,2,0.07,4,0.17,8,0.27,12,26,7.6923076923076925
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,LFC-2B-680,203.04,6.77,198.54,8.27,578.48,19.28,2,0.07,2,0.08,6,0.2,12,22,9.0909090909090917
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,LFC-2W-680,298.92,9.96,592.23,24.68,400.44,13.35,3,0.1,6,0.25,4,0.13,12,72,4.1666666666666661
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair US,LFC-3W,131.13,4.37,252.05,10.5,254.97,8.5,1,0.03,2,0.08,2,0.07,12,40,2.5
NA Big Outdoor Sale - March 2026,2026-03-24,2026-04-16,Filing Cabinets,Wayfair Canada (English),LFC-4B,166.18,5.54,165.87,6.91,0,0,1,0.03,1,0.04,0,0,12,3,33.333333333333329
